,text,airline_sentiment,demoji,cleaned,no_sw,wo_stopfreq,wo_stopfreq_lem
9009,"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!",negative,"@USAirways: u didn't bother following up, we booked with @Delta.  @Delta understands cust srv: provided lunch 4 delays &amp; upgraded seats!",": u didn't bother following up, we booked with .  understands cust srv: provided lunch 4 delays &amp; upgraded seats!",": bother up, booked . understands cust srv: provided lunch 4 delays &amp; upgraded seats!",": bother up, booked . understands cust srv: provided lunch 4 delays upgraded seats!",": bother up, booked . understands cust srv: provided lunch 4 delays upgraded seats!"
9012,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,negative,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?, there is an error w/ my preferred status &amp; i'm not able to reach an agent via phone. travel friday. need resolved - contact info?,error w/ preferred status &amp; reach agent phone. travel friday. resolved - contact info?,error w/ preferred status reach agent phone. travel friday. resolved - contact info?,error w/ preferred status reach agent phone. travel friday. resolved - contact info?
9013,@USAirways @AmericanAir how does a pilot forget log book? Been waiting on plane for 45 mins!! #AlsoNoDrinkCartComingAround,negative,@USAirways @AmericanAir how does a pilot forget log book? Been waiting on plane for 45 mins!! #AlsoNoDrinkCartComingAround, how does a pilot forget log book? been waiting on plane for 45 mins!! #alsonodrinkcartcomingaround,pilot forget book? waiting plane 45 mins!! #alsonodrinkcartcomingaround,pilot forget book? waiting 45 mins!! #alsonodrinkcartcomingaround,pilot forget book? waiting 45 mins!! #alsonodrinkcartcomingaround
9014,@USAirways already did it. One person said they couldn't do anything another said she didn't know why the first person we talked 2 said that,negative,@USAirways already did it. One person said they couldn't do anything another said she didn't know why the first person we talked 2 said that, already did it. one person said they could not do anything another said she didn't know why the first person we talked 2 said that,it. person person talked 2,it. person person talked,it. person person talked
9015,@USAirways @AshleyKAtherton Over an hour on hold so far,negative,@USAirways @AshleyKAtherton Over an hour on hold so far, over an hour on hold so far,hour hold,hour,hour
9016,"@usairways RT @Dmoukdarath: Nice, another delay with @usair second one this trip. Left engine leaking...what's next?? #USAIR #nothappy",negative,"@usairways RT @Dmoukdarath: Nice, another delay with @usair second one this trip. Left engine leaking...what's next?? #USAIR #nothappy"," rt : nice, another delay with second one this trip. left engine leaking... what is next?? #usair #nothappy","rt : nice, delay trip. left engine leaking... next?? #usair #nothappy","rt : nice, delay trip. left engine leaking... next?? #usair #nothappy","rt : nice, delay trip. left engine leaking... next?? #usair #nothappy"
9017,@USAirways I want to love you! 43 minutes on hold! Help me understand why I switched loyalty programs. http://t.co/cHGy5yrVka,negative,@USAirways I want to love you! 43 minutes on hold! Help me understand why I switched loyalty programs. http://t.co/cHGy5yrVka, i want to love you! 43 minutes on hold! help me understand why i switched loyalty programs. http://t.co/chgy5yrvka,love you! 43 minutes hold! understand switched loyalty programs. http://t.co/chgy5yrvka,love you! 43 minutes hold! understand switched loyalty programs. http://t.co/chgy5yrvka,love you! 43 minutes hold! understand switched loyalty programs. http://t.co/chgy5yrvka
9018,@USAirways 59 minutes now. Nice customer service you got going on.,negative,@USAirways 59 minutes now. Nice customer service you got going on., 59 minutes now. nice customer service you got going on.,59 minutes now. nice customer service on.,59 minutes now. nice on.,59 minutes now. nice on.
9019,@USAirways 44 minutes on hold so far. And still haven't spoke to a human. Never using you again.,negative,@USAirways 44 minutes on hold so far. And still haven't spoke to a human. Never using you again., 44 minutes on hold so far. and still have not spoke to a human. never using you again.,44 minutes hold far. spoke human. again.,44 minutes far. spoke human. again.,44 minutes far. spoke human. again.
9021,@USAirways You have no idea how upset and frustrated I am right now. I'll be sure to follow through with never flying with you again.,negative,@USAirways You have no idea how upset and frustrated I am right now. I'll be sure to follow through with never flying with you again., you have no idea how upset and frustrated i am right now. i'll be sure to follow through with never flying with you again.,idea upset frustrated now. follow flying again.,idea upset frustrated now. follow flying again.,idea upset frustrated now. follow flying again.
9022,@USAirways how can a person go from number one on a standby list to number twelve in three hours?  Should I be super platinum diamond status,negative,@USAirways how can a person go from number one on a standby list to number twelve in three hours?  Should I be super platinum diamond status, how can a person go from number one on a standby list to number twelve in three hours? should i be super platinum diamond status,person number standby list number twelve hours? super platinum diamond status,person number standby list number twelve hours? super platinum diamond status,person number standby list number twelve hours? super platinum diamond status
9023,"@USAirways Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you.",negative,"@USAirways Forget reservations. Thank you to the great leadership at your company, I've Cancelled Flighted my flight. Once again, thank you."," forget reservations. thank you to the great leadership at your company, i've cancelled flighted my flight. once again, thank you.","forget reservations. great leadership company, cancelled flighted flight. again, you.","forget reservations. great leadership company, flighted flight. again, you.","forget reservations. great leadership company, flighted flight. again, you."
9027,.@USAirways It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.,negative,.@USAirways It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.,. it was this saturday during all the snow in the dc area. excited the flight was not cancelled flightled but sad he went missing.,. saturday snow dc area. excited flight cancelled flightled sad missing.,. saturday snow dc area. excited flightled sad missing.,. saturday snow dc area. excited flightled sad missing.
9028,"@USAirways @AmericanAir I love you guys &amp; I'm gonna let you finish, but I've been on hold for 1 hour trying to book a flight w/ my voucher.",negative,"@USAirways @AmericanAir I love you guys &amp; I'm gonna let you finish, but I've been on hold for 1 hour trying to book a flight w/ my voucher."," i love you guys &amp; i'm gonna let you finish, but i've been on hold for 1 hour trying to book a flight w/ my voucher.","love guys &amp; gonna finish, hold 1 hour book flight w/ voucher.","love guys gonna finish, 1 hour book w/ voucher.","love guys gonna finish, 1 hour book w/ voucher."
9029,"@USAirways And, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail",negative,"@USAirways And, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail"," and, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail","and, helpful employee changed boarding zone space pump disciplined #fail","and, helpful employee changed boarding zone space pump disciplined #fail","and, helpful employee changed boarding zone space pump disciplined #fail"
9030,@USAirways Need to talk to a person about my bag. Waiting on hold for two hours. Bag s!b delivered last night. Online says not found.,negative,@USAirways Need to talk to a person about my bag. Waiting on hold for two hours. Bag s!b delivered last night. Online says not found., need to talk to a person about my bag. waiting on hold for two hours. bag s!b delivered last night. online says not found.,talk person bag. waiting hold hours. bag s!b delivered night. online found.,talk person bag. waiting hours. bag s!b delivered night. online found.,talk person bag. waiting hours. bag s!b delivered night. online found.
9032,@USAirways I don't want your sympathy I want someone to make an effort to find my bag,negative,@USAirways I don't want your sympathy I want someone to make an effort to find my bag, i do not want your sympathy i want someone to make an effort to find my bag,sympathy make effort find bag,sympathy make effort find bag,sympathy make effort find bag
9033,"@USAirways She spoke with someone this AM and was told that breast pumps aren't medical equipment and that she should have ""planned better.""",negative,"@USAirways She spoke with someone this AM and was told that breast pumps aren't medical equipment and that she should have ""planned better."""," she spoke with someone this am and was told that breast pumps aren't medical equipment and that she should have ""planned better.""","spoke told breast pumps medical equipment ""planned better.""","spoke told breast pumps medical equipment ""planned better.""","spoke told breast pumps medical equipment ""planned better."""
9034,@USAirways - 800# referred me back to baggage services but I left the airport. I was on seat 17A,negative,@USAirways - 800# referred me back to baggage services but I left the airport. I was on seat 17A, - 800# referred me back to baggage services but i left the airport. i was on seat 17a,- 800# referred back baggage services left airport. seat 17a,- 800# referred back baggage services left airport. seat 17a,- 800# referred back baggage services left airport. seat 17a
9037,@USAirways - First impressions are hard to reverse.  A horrible first experience with you.  Will never fly with you again!!!,negative,@USAirways - First impressions are hard to reverse.  A horrible first experience with you.  Will never fly with you again!!!, - first impressions are hard to reverse. a horrible first experience with you. will never fly with you again!!!,- impressions hard reverse. horrible experience you. fly again!!!,- impressions hard reverse. horrible experience you. fly again!!!,- impressions hard reverse. horrible experience you. fly again!!!
9039,"@USAirways not going as planned is an understatement. My flight was just changed AGAIN. If it weren't for a family emergency, I'd Cancelled Flight.",negative,"@USAirways not going as planned is an understatement. My flight was just changed AGAIN. If it weren't for a family emergency, I'd Cancelled Flight."," not going as planned is an understatement. my flight was just changed again. if it were not for a family emergency, i'd cancelled flight.","planned understatement. flight changed again. family emergency, cancelled flight.","planned understatement. changed again. family emergency, flight.","planned understatement. changed again. family emergency, flight."
9040,"@USAirways ...2 hours on the plane, they at least got us on a direct flight a couple hours Late Flightr on United",negative,"@USAirways ...2 hours on the plane, they at least got us on a direct flight a couple hours Late Flightr on United"," ...2 hours on the plane, they at least got us on a direct flight a couple hours late flightr on united","...2 hours plane, direct flight couple hours late flightr united","...2 plane, direct couple late flightr united","...2 plane, direct couple late flightr united"
9041,@USAirways sadly that didn't help me at my meeting at work today seeing as my presentation was in there! Major strike against me!!!,negative,@USAirways sadly that didn't help me at my meeting at work today seeing as my presentation was in there! Major strike against me!!!, sadly that didn't help me at my meeting at work today seeing as my presentation was in there! major strike against me!!!,sadly meeting work today presentation there! major strike me!!!,sadly meeting work today presentation there! major strike me!!!,sadly meeting work today presentation there! major strike me!!!
9042,.@USAirways I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,negative,.@USAirways I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.,. i did but the more eyes i have looking for pandu the better chance i have of bringing him home.,. eyes pandu chance bringing home.,. eyes pandu chance bringing home.,. eyes pandu chance bringing home.
9043,@USAirways my bag is still lost and I can not get anyone on the phone to assist me and the tracking updates have stopped,negative,@USAirways my bag is still lost and I can not get anyone on the phone to assist me and the tracking updates have stopped, my bag is still lost and i can not get anyone on the phone to assist me and the tracking updates have stopped,bag lost phone assist tracking updates stopped,bag lost phone assist tracking updates stopped,bag lost phone assist tracking updates stopped
9047,"@USAirways 167 minutes?  ""Im not trained in that"". Cmon. Can't you do better than that?",negative,"@USAirways 167 minutes?  ""Im not trained in that"". Cmon. Can't you do better than that?"," 167 minutes? ""im not trained in that"". cmon. can't you do better than that?","167 minutes? ""im trained that"". cmon. that?","167 minutes? ""im trained that"". cmon. that?","167 minutes? ""im trained that"". cmon. that?"
9049,@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on,negative,@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on, any direct number to dividend miles account info? every time i try them i get actually hung up on,direct number dividend miles account info? time hung,direct number dividend miles account info? time hung,direct number dividend miles account info? time hung
9050,@USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks,negative,@USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks, trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? how? thanks,chairman upgrade cert flt 740 2/26/14 told option 10 open seats? how?,chairman upgrade cert flt 740 2/26/14 told option 10 open seats? how?,chairman upgrade cert flt 740 2/26/14 told option 10 open seats? how?
9051,@USAirways but I've been trying to call them since yesterday and I keep getting hung up on? Can you get me through to them??,negative,@USAirways but I've been trying to call them since yesterday and I keep getting hung up on? Can you get me through to them??, but i've been trying to call them since yesterday and i keep getting hung up on? can you get me through to them??,call yesterday hung on? them??,yesterday hung on? them??,yesterday hung on? them??
9054,@USAirways an award travel ticket but cannot since it is under a different last name. I simply need to change it,negative,@USAirways an award travel ticket but cannot since it is under a different last name. I simply need to change it, an award travel ticket but cannot since it is under a different last name. i simply need to change it,award travel ticket different name. simply change,award travel ticket different name. simply change,award travel ticket different name. simply change
9056,@usairways Ok thank you…I call from Spain to US for seating assistance!,negative,@usairways Ok thank you…I call from Spain to US for seating assistance!, ok thank you…i call from spain to us for seating assistance!,you…i call spain seating assistance!,you…i spain seating assistance!,you…i spain seating assistance!
9058,@USAirways 2day: no coffee &amp; 1 working toilet.  Then I read domestic airlines whining re: foreign competition.  Coincidence?  No  #openskies,negative,@USAirways 2day: no coffee &amp; 1 working toilet.  Then I read domestic airlines whining re: foreign competition.  Coincidence?  No  #openskies, 2day: no coffee &amp; 1 working toilet. then i read domestic airlines whining re: foreign competition. coincidence? no #openskies,2day: coffee &amp; 1 working toilet. read domestic airlines whining re: foreign competition. coincidence? #openskies,2day: coffee 1 working toilet. read domestic airlines whining re: foreign competition. coincidence? #openskies,2day: coffee 1 working toilet. read domestic airlines whining re: foreign competition. coincidence? #openskies
9062,"@USAirways I've been on hold to rebook a Cancelled Flighted flight for over two hours. I know weather has a huge impact, but you should anticipate.",negative,"@USAirways I've been on hold to rebook a Cancelled Flighted flight for over two hours. I know weather has a huge impact, but you should anticipate."," i've been on hold to rebook a cancelled flighted flight for over two hours. i know weather has a huge impact, but you should anticipate.","hold rebook cancelled flighted flight hours. weather huge impact, anticipate.","rebook flighted hours. weather huge impact, anticipate.","rebook flighted hours. weather huge impact, anticipate."
9063,"@USAirways Been on hold for over 5 hours! I believe I was overcharged $200 for my flight, I need an immediate explanation. HELP",negative,"@USAirways Been on hold for over 5 hours! I believe I was overcharged $200 for my flight, I need an immediate explanation. HELP"," been on hold for over 5 hours! i believe i was overcharged $200 for my flight, i need an immediate explanation. help","hold 5 hours! believe overcharged $200 flight, immediate explanation.","5 hours! believe overcharged $200 flight, immediate explanation.","5 hours! believe overcharged $200 flight, immediate explanation."
9066,@USAirways still on hold...1 hr 27 mins....thank god for chairman status. status match @Delta?,negative,@USAirways still on hold...1 hr 27 mins....thank god for chairman status. status match @Delta?, still on hold...1 hr 27 mins....thank god for chairman status. status match ?,hold...1 hr 27 mins....thank god chairman status. status match ?,hold...1 hr 27 mins....thank god chairman status. status match ?,hold...1 hr 27 mins....thank god chairman status. status match ?
9068,@USAirways has the worst customer service. Can't even get through to a rep you gotta be kidding me,negative,@USAirways has the worst customer service. Can't even get through to a rep you gotta be kidding me, has the worst customer service. can't even get through to a rep you gotta be kidding me,worst customer service. rep gotta kidding,worst service. rep gotta kidding,worst service. rep gotta kidding
9069,@USAirways @Beamske But maybe I can be on hold for 30 minutes again. That would be just as amazing.,negative,@USAirways @Beamske But maybe I can be on hold for 30 minutes again. That would be just as amazing., but maybe i can be on hold for 30 minutes again. that would be just as amazing.,hold 30 minutes again. amazing.,30 minutes again. amazing.,30 minutes again. amazing.
9070,@USAirways @Beamske how about a real live person talk to the person whose luggage was lost for 4 days and vacation wrecked . @yorkshire2002,negative,@USAirways @Beamske how about a real live person talk to the person whose luggage was lost for 4 days and vacation wrecked . @yorkshire2002, how about a real live person talk to the person whose luggage was lost for 4 days and vacation wrecked . ,real live person talk person luggage lost 4 days vacation wrecked .,real live person talk person luggage lost 4 days vacation wrecked .,real live person talk person luggage lost 4 days vacation wrecked .
9071,@usairways is your clt departures delayed? Hoping I can make my connection after a lengthy take off delay and endless taxi-ing here at clt,negative,@usairways is your clt departures delayed? Hoping I can make my connection after a lengthy take off delay and endless taxi-ing here at clt, is your clt departures delayed? hoping i can make my connection after a lengthy take off delay and endless taxi-ing here at clt,clt departures delayed? hoping make connection lengthy delay endless taxi-ing clt,clt departures delayed? hoping make connection lengthy delay endless taxi-ing clt,clt departures delayed? hoping make connection lengthy delay endless taxi-ing clt
9073,@USAirways So frustrating because I still have not gotten them back. Why my bag was sent to NY is a mystery!  Shame on me this time!,negative,@USAirways So frustrating because I still have not gotten them back. Why my bag was sent to NY is a mystery!  Shame on me this time!, so frustrating because i still have not gotten them back. why my bag was sent to ny is a mystery! shame on me this time!,frustrating back. bag ny mystery! shame time!,frustrating back. bag ny mystery! shame time!,frustrating back. bag ny mystery! shame time!
9074,@USAirways I will NEVER travel US Airways again. Flew in from LA to DC last night and for the 2nd time on this airline my bags didn't arrive,negative,@USAirways I will NEVER travel US Airways again. Flew in from LA to DC last night and for the 2nd time on this airline my bags didn't arrive, i will never travel us airways again. flew in from la to dc last night and for the 2nd time on this airline my bags didn't arrive,travel airways again. flew dc night 2nd time airline bags arrive,travel airways again. flew dc night 2nd time airline bags arrive,travel airways again. flew dc night 2nd time airline bags arrive
9076,@USAirways like they will call me? I'v been trying since yesterday and no one is answering...,negative,@USAirways like they will call me? I'v been trying since yesterday and no one is answering..., like they will call me? i'v been trying since yesterday and no one is answering...,call me? i'v yesterday answering...,me? i'v yesterday answering...,me? i'v yesterday answering...
9077,"@USAirways your CSR in PHL suck.   Flt 3883 gets cx'd,  i get rebooked to the next day?  On standby for 4011. Not hopeful.",negative,"@USAirways your CSR in PHL suck.   Flt 3883 gets cx'd,  i get rebooked to the next day?  On standby for 4011. Not hopeful."," your csr in phl suck.  flt 3883 gets cx'd, i get rebooked to the next day? on standby for 4011. not hopeful.","csr phl suck. flt 3883 cx'd, rebooked day? standby 4011. hopeful.","csr phl suck. flt 3883 cx'd, rebooked day? standby 4011. hopeful.","csr phl suck. flt 3883 cx'd, rebooked day? standby 4011. hopeful."
9078,@USAirways HELLO!! Is anyone behind your twitter account? #badcustomerservice,negative,@USAirways HELLO!! Is anyone behind your twitter account? #badcustomerservice, hello!! is anyone behind your twitter account? #badcustomerservice,hello!! twitter account? #badcustomerservice,hello!! twitter account? #badcustomerservice,hello!! twitter account? #badcustomerservice
9079,@USAirways I keep getting hung up on. PLEASE respond so I can book a ticket with you. I won't be able to buy one unless I speak to someone!,negative,@USAirways I keep getting hung up on. PLEASE respond so I can book a ticket with you. I won't be able to buy one unless I speak to someone!, i keep getting hung up on. please respond so i can book a ticket with you. i will not be able to buy one unless i speak to someone!,hung on. respond book ticket you. buy speak someone!,hung on. respond book ticket you. buy speak someone!,hung on. respond book ticket you. buy speak someone!
